あ,アウチッチ,痛い,
あ,あかいトーン,きずな,
あ,あたっちゅ,体当たり,
あ,あちゅちゅ,あつい,
あ,あとチョッチ,おしいっ,
あ,あわせっち,協力,
あ,イエーっちゅ,はい,
あ,ウ～ラ～ラ～,幸せ,
あ,うぇいきゅー,待つ,
あ,うちゃー,反省,
あ,うにに～,イケてな～い,
あ,うりり～,売る,
あ,うれぴっプル,嬉しい,
あ,おぞぞ～,おそろしい,
あ,オフるん,はずす,
あ,おめでっちゅ,おめでとう,
あ,おもろぷぅ,おもしろい,
か,がくちゅ,勉強する,
か,かしかし,かじる,
か,がちゃちゃ,うるさい,
か,がちゅん,ショック,
か,がっちりん,かたい,
か,かなで～る,演奏,
か,ガリッちょ,ひっかく,
か,かわルンバ,かわる,
か,がんばリン,がんばれっ,
か,キョロリン,見る,
か,クイッちゅ,急ぐ,
か,くりっくり,そっくり,
か,クリんぱ,おそうじ,
か,ぐるマ～ニ,かたぐるま,
か,くるリン,まわる,
か,ぐれいちゅ,すごい,
か,ぐれえてる,悪い子,
か,クレレッ,ちょーだい,
か,くんかくんか,かぐ,
か,ゲチュー,手に入れる,
か,げんまる,約束,
か,こそそ,隠れる,
か,こまっち,困る,
さ,サンちゅ,ありがとう,
さ,しーちゅる,すけてる,
さ,シビビーン,しびれる,
さ,じめるるん,湿る,
さ,しょーなっち,仕方がない,
さ,しんパイン,心配する,
さ,すかぴー,寝る,
さ,セサミん,開く,
た,ターゲッちゅ,狙う,
た,ダイジョッビ,大丈夫,
た,たのモッちぃ,たのもしい,
た,ちーぷる,トイレ,
た,ぢぢぢぃ～,嫌い,
た,ちぴっと,小さい,
た,ちゃいっ,ごめんなさい,
た,ちゅきリーナ,好き,
た,ちゅ～ラブー,愛してる,
た,ちょびりんき,イケてる～,
た,つっつん,つつく,
た,ディアディア～ン,大切,
た,デリちゅ,美味しい,
た,てれらん,恥ずかしい,
た,でろろん,疲れる,
た,デンデン,伝える,
た,どすこイッチ,押す,
た,どっかり,大きい,
た,ともち,ともだち,
た,ドンチャカ,盛り上がる,
な,ナイ～ん,失う,
な,ねがちゅる,お願い,
な,ノッくん,叩く,
な,のぼちゅ,のぼる,
な,のるるン,乗る,
な,のんたる,のんびり,
は,パーへくち,カンペキ,
は,バイきゅー,さようなら,
は,ばくドキ,驚く,
は,パチっと,目覚める,
は,はなマルっち,100点!,
は,ぱぱらーん,見せる,
は,はむはー,あいさつ,
は,ぱる,引っ張る,
は,バルっち,ライバル,
は,バレりっち,バレる,
は,ピーちゅ,平和,
は,ひえビッチ,寒い,
は,ピカッシュ,磨く,
は,ぴくぴ,聞こえる,
は,ひそそ,内緒,
は,ピピンッ,気が付く,
は,びゅ～りっほ,きれい,
は,びろろ～ん,広い,
は,プキキ,笑う,
は,ブクブク,深い,
は,ぷっぷく,持ち運ぶ,
は,ふに～,やさしい,
は,フラランちゅ,フラフラする,
は,ブラリンちょ,ぶら下がる,
は,ぷりちゅ～,カワイイ,
は,フリックる,自由,
は,プレーぜる,あげる,
は,ぶれぶー,勇気,
は,ペコすきー,おなかすいた,
は,べそきゅー,かなしい,
は,ぺちゃちゃ,おしゃべり,
は,ポイっちょ,あきらめる,
は,ポケらん,忘れる,
は,ポチッっと,取り付ける,
は,ぼっち,さみしい,
は,ポンぽポン,おなかいっぱい,
ま,まいちー,どんまい,
ま,マジフル,ホント,
ま,まっちゅる,力持ち,
ま,まもっち,守る,
ま,みちゅてる,不思議,
ま,むちゅちゅ,遊ぶ,
ま,むっほっほ,強い,
ま,めざちゅルン,目標,
ま,めちゅ～っ,起こった,
ま,もぐちゅ,もぐる,
ま,もっちょ,アルコール,
ま,もひもひ,食べる,
や,やーノン,いいえ,
や,やほほーい,呼ぶ,
や,よっちー,仲良し,
